"DOMAIN","MEASURE_TYPE","GENDER","AGE","L","M","S","CENTILE_0_4","CENTILE_2","CENTILE_9","CENTILE_25","CENTILE_50","CENTILE_75","CENTILE_91","CENTILE_98","CENTILE_99_6","ID"
"GROWTH_CHARTS","PT_CHILD_HEAD","M",-0.229979466119097,1,26.73601,0.05277836,22.993818518508,23.8376460094326,24.8437480178428,25.7849402192588,26.73601,27.6870797807412,28.6282719821572,29.6343739905674,30.478201481492,1990
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.134154688569473,1,55.8406,0.03593,50.519752485784,51.719551435068,53.150080951522,54.488318241108,55.8406,57.192881758892,58.531119048478,59.961648564932,61.161447514216,265
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.153319644079398,1,56.5767,0.03578,51.208218407448,52.418758374396,53.862094488834,55.212312144276,56.5767,57.941087855724,59.291305511166,60.734641625604,61.945181592552,266
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.166666666666667,1,57.0673,0.03568,51.667400327872,52.885024763744,54.336807744976,55.694927308064,57.0673,58.439672691936,59.797792255024,61.249575236256,62.467199672128,267
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.172484599589322,1,57.2761,0.03564,51.862518818992,53.083228300984,54.538689606436,55.900250182504,57.2761,58.651949817496,60.013510393564,61.468971699016,62.689681181008,268
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.191649555099247,1,57.9436,0.03552,52.485368505856,53.716146195712,55.183611902848,56.556402403072,57.9436,59.330797596928,60.703588097152,62.171053804288,63.401831494144,269
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.210814510609172,1,58.5816,0.0354,53.08191252672,54.32203813344,55.80064943376,57.18386645664,58.5816,59.97933354336,61.36255056624,62.84116186656,64.08128747328,270
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.229979466119097,1,59.1922,0.0353,53.65088668168,54.90039850836,56.39020107094,57.78388733916,59.1922,60.60051266084,61.99419892906,63.48400149164,64.73351331832,271
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.249144421629021,1,59.7773,0.0352,54.19706513408,55.45535338816,56.95562015264,58.35909551296,59.7773,61.19550448704,62.59897984736,64.09924661184,65.35753486592,272
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.25,1,59.8029,0.0352,54.22027536384,55.47910248768,56.98001175072,58.38408815808,59.8029,61.22171184192,62.62578824928,64.12669751232,65.38552463616,273
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.333333333333333,1,62.0899,0.03486,56.349768220072,57.644111660644,59.187367301326,60.631058061964,62.0899,63.548741938036,64.992432698674,66.535688339356,67.830031779928,274
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.416666666666667,1,64.0301,0.03463,58.149655013324,59.475637706398,61.056617071217,62.535597767338,64.0301,65.524602232662,67.003582928783,68.584562293602,69.910544986676,275
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.5,1,65.7311,0.03448,59.720585114144,61.075897294288,62.691846432152,64.203540786928,65.7311,67.258659213072,68.770353567848,70.386302705712,71.741614885856,276
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.583333333333333,1,67.2873,0.03441,61.146975906564,62.531558790378,64.182407613387,65.726750060718,67.2873,68.847849939282,70.392192386613,72.043041209622,73.427624093436,277
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.666666666666667,1,68.7498,0.0344,62.47783824576,63.89210413152,65.57834422608,67.15579463712,68.7498,70.34380536288,71.92125577392,73.60749586848,75.02176175424,278
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.75,1,70.1435,0.03444,63.73695184472,65.18156564444,66.90398979026,68.51528979764,70.1435,71.77171020236,73.38301020974,75.10543435556,76.55004815528,279
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.833333333333333,1,71.4818,0.03452,64.937852796128,66.413448734256,68.172813122024,69.818670129936,71.4818,73.144929870064,74.790786877976,76.550151265744,78.025747203872,280
"GROWTH_CHARTS","CHILD_HEIGHT","F",0.916666666666667,1,72.771,0.03464,66.08587170912,67.59330259824,69.39062404296,71.07198926544,72.771,74.47001073456,76.15137595704,77.94869740176,79.45612829088,281
"GROWTH_CHARTS","CHILD_HEIGHT","F",1,1,74.015,0.03479,67.1861481338,68.7259872801,70.56194933915,72.2794622331,74.015,75.7505377669,77.46805066085,79.3040127199,80.8438518662,282
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.08333333333333,1,75.2176,0.03496,68.243881451008,69.816386614016,71.691296616064,73.445244682496,75.2176,76.989955317504,78.743903383936,80.618813385984,82.191318548992,283
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.16666666666667,1,76.3817,0.03514,69.263591608424,70.868655265348,72.782385010142,74.572648319788,76.3817,78.190751680212,79.981014989858,81.894744734652,83.499808391576,284
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.25,1,77.5099,0.03534,70.245541955368,71.883583475236,73.836632979694,75.663679290316,77.5099,79.356120709684,81.183167020306,83.136216524764,84.774258044632,285
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.33333333333333,1,78.6055,0.03555,71.1946835077,72.86574997165,74.858175370975,76.72205719615,78.6055,80.48894280385,82.352824629025,84.34525002835,86.0163164923,286
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.41666666666667,1,79.671,0.03576,72.11535928608,73.81908219216,75.85044411864,77.75075043696,79.671,81.59124956304,83.49155588136,85.52291780784,87.22664071392,287
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.5,1,80.7079,0.03598,73.006836118216,74.743350522932,76.813810005478,78.750691456892,80.7079,82.665108543108,84.601989994522,86.672449477068,88.408963881784,288
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.58333333333333,1,81.7182,0.0362,73.87305667632,75.64205958264,77.75125535556,79.72437398184,81.7182,83.71202601816,85.68514464444,87.79434041736,89.56334332368,289
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.66666666666667,1,82.7036,0.03643,74.713410023504,76.515119528008,78.663311629532,80.672910692248,82.7036,84.734289307752,86.743888370468,88.892080471992,90.693789976496,290
